Federal States,Grade 1.0,Grade 1.1,Grade 1.2,Grade 1.3,Grade 1.4,Grade 1.5,Grade 1.6,Grade 1.7,Grade 1.8,Grade 1.9,Grade 2.0,Grade 2.1,Grade 2.2,Grade 2.3,Grade 2.4,Grade 2.5,Grade 2.6,Grade 2.7,Grade 2.8,Grade 2.9,Grade 3.0,Grade 3.1,Grade 3.2,Grade 3.3,Grade 3.4,Grade 3.5,Grade 3.6,Grade 3.7,Grade 3.8,Grade 3.9,Grade 4.0,year
Rheinland-Pfalz,170,115,161,214,265,308,389,448,517,525,635,682,767,810,800,943,841,904,978,920,978,900,844,738,640,408,217,119,25,2,9,2014-01-01
Saarland,59,28,33,47,59,96,85,106,130,146,157,165,167,196,202,241,214,220,206,200,204,198,170,113,73,34,10,6,0,0,0,2014-01-01
Sachsen,103,77,143,191,233,251,321,344,372,408,441,449,473,509,512,496,479,433,442,475,365,353,310,249,145,90,36,5,1,0,0,2014-01-01
Sachsen-Anhalt,65,45,72,91,91,88,146,153,185,180,196,189,213,256,230,258,255,248,229,249,238,234,230,152,93,78,27,2,1,0,0,2014-01-01
Schleswig-Holstein,100,78,114,140,199,227,253,326,382,401,480,490,544,575,652,708,739,740,734,728,716,710,612,542,394,263,158,74,20,2,3,2014-01-01
Thüringen,157,118,144,172,229,228,271,262,303,303,296,308,281,301,319,301,265,279,218,217,161,174,139,87,51,24,10,2,2,0,0,2014-01-01
Baden-Wüttemberg,655,459,664,841,1026,1222,1402,1688,1825,2114,2240,2477,2685,2786,2811,2879,2844,2919,2882,2734,2594,2312,2181,1794,1373,997,502,167,22,5,1,2015-01-01
Bayern,790,492,689,912,1035,1262,1455,1655,1867,2089,2043,2292,2295,2451,2443,2544,2357,2268,2191,2056,1724,1647,1333,948,642,337,150,43,13,2,7,2015-01-01
Berlin,252,196,242,299,367,461,465,555,587,700,707,734,814,777,894,885,903,911,929,884,772,690,654,473,339,241,106,31,2,3,3,2015-01-01
Brandenburg,176,87,143,183,243,240,313,306,371,364,377,425,433,419,474,451,451,442,446,406,360,318,242,203,112,42,20,9,3,3,0,2015-01-01
Bremen,65,35,52,70,70,77,88,84,108,130,137,128,143,132,159,202,175,162,182,188,193,180,149,129,99,57,27,10,2,2,0,2015-01-01
Hamburg,158,110,140,156,201,245,267,307,381,379,378,451,461,488,486,527,491,498,523,562,475,466,407,339,244,178,88,34,9,2,0,2015-01-01
Hessen,419,269,355,465,556,696,732,831,974,1030,1040,1123,1188,1340,1359,1418,1394,1423,1460,1361,1335,1107,1080,955,731,519,279,109,24,2,0,2015-01-01
Mecklenburg-Vorpommern,87,57,81,87,105,149,105,160,174,175,170,196,231,218,213,212,228,212,231,204,191,186,153,130,71,46,17,2,1,0,0,2015-01-01
Niedersachsen,264,186,302,366,499,602,715,796,869,1136,1132,1284,1412,1532,1666,1868,1917,1945,2122,2242,2050,2102,1959,1755,1396,953,521,156,21,2,0,2015-01-01
Nordrhein-Westfalen,1280,823,1170,1426,1642,2000,2359,2654,3030,3436,3366,3733,4145,4113,4421,4682,4578,4616,4763,4936,4357,4448,4075,3581,2892,2110,1125,455,89,22,20,2015-01-01
Rheinland-Pfalz,178,137,195,232,287,359,420,481,562,616,649,748,751,795,816,914,960,986,1030,963,1011,942,876,677,594,433,215,99,34,2,7,2015-01-01
Saarland,70,42,56,62,63,100,115,149,170,167,155,199,203,211,208,238,228,222,206,255,197,182,153,97,69,32,21,3,2,0,0,2015-01-01
Sachsen,159,123,185,241,273,357,368,456,530,548,548,586,647,610,623,581,587,585,526,514,491,453,369,305,202,107,46,17,0,0,0,2015-01-01
Sachsen-Anhalt,82,46,99,94,126,146,152,167,220,236,205,239,257,272,282,270,299,290,300,285,250,230,190,174,137,74,29,6,0,0,0,2015-01-01
Schleswig-Holstein,112,91,132,146,202,267,285,361,414,454,529,536,589,647,705,700,719,777,796,795,774,677,671,487,397,261,136,64,21,1,5,2015-01-01
Thüringen,193,130,163,193,261,236,257,309,297,374,322,352,373,337,341,285,295,286,298,248,178,169,108,103,66,47,10,2,1,0,0,2015-01-01
Baden-Wüttemberg,700,475,732,783,1042,1262,1454,1644,1927,2201,2255,2515,2656,2764,2803,2847,2812,2859,2784,2687,2471,2388,2045,1931,1416,979,555,176,32,0,2,2016-01-01
Bayern,797,505,652,882,1092,1244,1461,1666,1912,2120,2033,2224,2399,2454,2457,2519,2396,2299,2258,2051,1893,1585,1306,1015,645,391,157,55,14,8,5,2016-01-01
Berlin,304,178,256,352,388,465,530,556,613,745,674,713,836,815,810,900,936,959,913,889,867,778,722,551,381,229,93,32,5,2,1,2016-01-01
Brandenburg,227,130,170,222,250,286,274,334,403,401,432,421,428,453,504,476,467,440,467,430,405,360,270,182,86,56,19,4,0,0,0,2016-01-01
Bremen,59,37,51,55,74,84,104,101,106,117,116,149,138,153,139,137,156,197,178,174,157,172,156,120,95,68,37,3,1,4,0,2016-01-01
Hamburg,137,93,137,184,217,268,283,317,353,377,429,444,460,468,546,479,534,564,536,473,494,474,481,401,304,191,90,26,7,1,0,2016-01-01
Hessen,513,281,392,483,519,670,767,810,895,1022,1050,1090,1255,1166,1313,1327,1305,1361,1304,1298,1252,1160,957,840,675,416,234,114,15,2,0,2016-01-01
Mecklenburg-Vorpommern,127,72,92,126,164,143,151,183,195,225,222,234,254,276,246,282,268,232,281,249,242,211,178,145,87,37,18,1,0,0,0,2016-01-01
Niedersachsen,305,195,316,407,484,565,684,785,963,1125,1117,1345,1432,1527,1715,1758,1906,1976,2094,2111,2026,2068,1980,1634,1312,913,488,158,30,2,0,2016-01-01
Nordrhein-Westfalen,1476,910,1244,1476,1743,2149,2341,2611,3073,3479,3289,3710,4129,4231,4459,4738,4776,4780,4805,4832,4486,4438,4013,3473,2879,1930,1078,410,89,14,10,2016-01-01
Rheinland-Pfalz,217,147,222,264,330,416,510,561,627,733,710,772,855,881,944,1013,1005,1027,1101,1000,1038,944,950,790,653,461,238,106,28,6,11,2016-01-01
Saarland,96,53,51,66,75,83,82,115,137,151,158,170,180,206,231,231,215,184,225,221,201,200,146,121,84,32,12,1,0,0,0,2016-01-01
Sachsen,186,132,188,210,288,364,393,462,511,560,585,667,665,684,666,632,619,633,559,562,480,403,360,289,229,122,37,10,0,0,0,2016-01-01
Sachsen-Anhalt,79,53,97,114,132,154,179,198,226,221,234,278,282,301,289,300,261,315,311,290,259,266,246,204,148,73,25,6,0,0,0,2016-01-01
Schleswig-Holstein,198,129,192,269,313,433,448,599,663,728,760,835,976,1005,1054,1168,1185,1220,1218,1198,1182,1099,909,784,586,387,204,78,34,2,3,2016-01-01
Thüringen,194,120,158,209,234,280,268,359,336,338,365,363,411,382,395,327,320,319,263,255,234,219,121,116,65,32,10,5,0,0,0,2016-01-01
Baden-Wüttemberg,793,455,663,858,1053,1295,1461,1636,1900,2178,2268,2365,2501,2651,2652,2743,2780,2753,2734,2677,2613,2343,2049,1738,1385,946,458,171,28,2,1,2017-01-01
Bayern,881,539,741,871,1099,1288,1562,1663,1892,2080,2200,2164,2459,2456,2558,2704,2379,2363,2100,2081,1917,1569,1433,1063,651,404,157,40,9,2,17,2017-01-01
Berlin,301,209,263,321,414,444,509,608,646,689,765,775,880,856,927,936,988,977,947,946,869,872,754,622,455,275,114,32,5,0,3,2017-01-01
Brandenburg,236,135,204,233,260,348,342,382,422,445,518,490,554,554,544,516,531,542,541,436,444,385,287,198,118,44,24,2,0,0,0,2017-01-01
Bremen,54,34,33,54,59,60,84,75,91,103,117,113,146,133,135,146,159,156,171,153,157,142,138,125,78,74,36,8,4,1,0,2017-01-01
Hamburg,150,89,119,194,196,234,296,310,354,365,391,419,472,464,473,491,470,549,520,484,492,459,407,361,288,152,75,29,7,1,0,2017-01-01
Hessen,498,290,374,474,543,659,744,858,949,979,994,1094,1140,1205,1295,1316,1363,1309,1360,1247,1255,1165,1056,829,667,402,237,85,21,0,0,2017-01-01
Mecklenburg-Vorpommern,102,86,80,110,135,150,182,186,209,247,237,215,240,251,276,260,255,299,255,273,237,215,193,116,83,41,12,4,0,0,0,2017-01-01
Niedersachsen,292,209,317,377,504,615,748,849,936,1079,1114,1303,1436,1530,1594,1775,1789,1854,1991,2134,1917,1941,1855,1581,1319,936,492,181,28,3,0,2017-01-01
Nordrhein-Westfalen,1509,963,1217,1476,1739,2092,2312,2684,2944,3233,3246,3565,3997,4061,4224,4552,4502,4495,4578,4676,4185,4208,3919,3436,2809,1900,1036,382,83,12,5,2017-01-01
