Bundesland,Schulabschluss,2010 männlich,2010 weiblich,2011 männlich,2011 weiblich,2012 männlich,2012 weiblich,2013 männlich,2013 weiblich,2014 männlich,2014 weiblich,2015 männlich,2015 weiblich,2016 männlich,2016 weiblich,2017 männlich,2017 weiblich,2018 männlich,2018 weiblich,2019 männlich,2019 weiblich,2020 männlich,2020 weiblich,2021 männlich,2021 weiblich
Sachsen-Anhalt,Ohne Hauptschulabschluss,1101,743,1063,675,1016,652,894,585,946,582,1073,662,1078,585,1102,647,1257,747,1308,687,1110,663,1038,633
Sachsen-Anhalt,Hauptschulabschluss,1709,1121,1457,970,1337,856,1027,686,1152,776,1182,778,1282,828,1179,758,1281,741,1365,807,1284,777,1437,867
Sachsen-Anhalt,Mittlerer Schulabschluss,3223,3173,3253,2919,3613,3383,3923,3587,4150,3880,4299,3980,4604,4124,4588,4145,4518,4053,4605,4107,4734,4125,4485,4305
Sachsen-Anhalt,Fachhochschulreife,213,240,180,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sachsen-Anhalt,Allgemeine Hochschulreife,1836,2397,1722,2202,1764,2317,1755,2137,1877,2379,2180,2715,2327,2820,2303,2853,2505,2985,2343,2907,2403,2901,2133,2874
Schleswig-Holstein,Ohne Hauptschulabschluss,1348,854,1349,794,1296,818,1335,902,1422,901,1371,863,1484,952,1464,829,1504,949,1678,995,1425,858,1226,786
Schleswig-Holstein,Hauptschulabschluss,5025,3719,4513,3374,4054,3021,3822,2689,3460,2469,3204,2371,3300,2272,3176,2175,3149,2204,3100,1978,2999,2010,2654,1926
Schleswig-Holstein,Mittlerer Schulabschluss,5598,5630,5362,5612,5220,5485,6096,5991,6329,6332,6146,6189,6174,6089,5912,5764,5708,5526,5519,5293,5150,5121,4971,4829
Schleswig-Holstein,Fachhochschulreife,275,299,295,358,368,409,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Schleswig-Holstein,Allgemeine Hochschulreife,4274,5124,3805,4577,3910,4721,4239,4900,4381,4986,4686,5299,7797,9128,5261,5851,4778,5446,4738,5773,4604,5418,4345,5314
Thüringen,Ohne Hauptschulabschluss,771,495,702,455,675,349,729,448,714,404,743,454,846,440,1021,498,1043,577,1066,561,821,481,927,526
Thüringen,Hauptschulabschluss,1284,916,1216,836,1108,782,1346,886,1340,944,1401,928,1394,1076,1483,1042,1577,1033,1491,1144,1553,994,1545,982
Thüringen,Mittlerer Schulabschluss,3112,2939,3033,2842,3133,3086,3486,3438,3832,3689,3848,3610,3844,3613,3980,3670,3999,3610,4147,3885,4046,3866,4137,3942
Thüringen,Fachhochschulreife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thüringen,Allgemeine Hochschulreife,2477,3008,1942,2384,2065,2437,2072,2469,2273,2726,2591,2991,2601,3331,2580,3177,2600,3116,2675,3296,2542,3192,2374,3090
