latitude,longtitude,country,iso2,Federal States
51.6236,7.3972,Germany,DE,Nordrhein-Westfalen
51.8258,8.1436,Germany,DE,Nordrhein-Westfalen
51.3208,6.4931,Germany,DE,Nordrhein-Westfalen
53.7939,12.1764,Germany,DE,Mecklenburg-Vorpommern
50.3353,8.755,Germany,DE,Hessen
48.0528,10.8689,Germany,DE,Bayern
51.7067,10.0011,Germany,DE,Lower SN
50.138,8.4525,Germany,DE,Hessen
52.2167,9.55,Germany,DE,Lower SN
48.2833,11.5667,Germany,DE,Bayern
48.6953,8.135,Germany,DE,Baden-Wüttemberg
49.3236,12.0993,Germany,DE,Bayern
51.7667,9.3667,Germany,DE,Nordrhein-Westfalen
50.9,7.1833,Germany,DE,Nordrhein-Westfalen
53.1836,8.0097,Germany,DE,Lower SN
51.2904,7.2972,Germany,DE,Nordrhein-Westfalen
54.3044,9.6644,Germany,DE,Schleswig-Holstein
48.8764,9.3978,Germany,DE,Baden-Wüttemberg
50.5447,7.1133,Germany,DE,Rheinland-Pfalz
51.2386,12.7253,Germany,DE,Sachsen
51.1333,6.2667,Germany,DE,Nordrhein-Westfalen
48.6244,9.8306,Germany,DE,Baden-Wüttemberg
48.2689,10.8908,Germany,DE,Bayern
53.7833,10.0,Germany,DE,Schleswig-Holstein
51.1636,13.4775,Germany,DE,Sachsen
51.1167,7.0167,Germany,DE,Nordrhein-Westfalen
51.5833,6.25,Germany,DE,Nordrhein-Westfalen
51.0478,12.1383,Germany,DE,Sachsen-Anhalt
48.1214,7.8492,Germany,DE,Baden-Wüttemberg
52.35,13.4,Germany,DE,Brandenburg
51.3167,8.0,Germany,DE,Nordrhein-Westfalen
51.2589,9.4183,Germany,DE,Hessen
53.5089,10.2483,Germany,DE,Schleswig-Holstein
50.6,6.65,Germany,DE,Nordrhein-Westfalen
50.0697,8.4862,Germany,DE,Hessen
51.3881,7.395,Germany,DE,Nordrhein-Westfalen
49.8594,8.5525,Germany,DE,Hessen
50.8342,10.9464,Germany,DE,Thüringen
51.75,11.4667,Germany,DE,Sachsen-Anhalt
50.9653,6.1194,Germany,DE,Nordrhein-Westfalen
50.6256,6.9491,Germany,DE,Nordrhein-Westfalen
50.9328,7.2839,Germany,DE,Nordrhein-Westfalen
50.9,6.1833,Germany,DE,Nordrhein-Westfalen
49.3481,8.6911,Germany,DE,Baden-Wüttemberg
47.6858,9.8342,Germany,DE,Baden-Wüttemberg
51.8833,8.6167,Germany,DE,Nordrhein-Westfalen
52.6667,8.2386,Germany,DE,Lower SN
49.2942,8.6983,Germany,DE,Baden-Wüttemberg
51.7319,6.5908,Germany,DE,Nordrhein-Westfalen
52.5808,13.8814,Germany,DE,Brandenburg
49.5103,11.2772,Germany,DE,Bayern
49.1917,9.2244,Germany,DE,Baden-Wüttemberg
51.3265,6.971,Germany,DE,Nordrhein-Westfalen
51.4667,11.3,Germany,DE,Sachsen-Anhalt
52.6378,13.2036,Germany,DE,Brandenburg
48.2833,9.7236,Germany,DE,Baden-Wüttemberg
50.4367,8.6622,Germany,DE,Hessen
53.5,8.4667,Germany,DE,Lower SN
52.6667,13.2831,Germany,DE,Brandenburg
52.2997,13.2667,Germany,DE,Brandenburg
48.95,8.8392,Germany,DE,Baden-Wüttemberg
49.6415,8.645,Germany,DE,Hessen
51.6833,7.4833,Germany,DE,Nordrhein-Westfalen
49.9,8.6,Germany,DE,Hessen
48.5333,11.5167,Germany,DE,Bayern
50.1,11.4333,Germany,DE,Bayern
49.4667,7.1667,Germany,DE,Saarland
52.4022,13.2706,Germany,DE,Brandenburg
50.645,7.2269,Germany,DE,Nordrhein-Westfalen
52.2281,11.0106,Germany,DE,Lower SN
49.9669,7.895,Germany,DE,Rheinland-Pfalz
48.6314,8.0739,Germany,DE,Baden-Wüttemberg
49.45,10.95,Germany,DE,Bayern
49.2461,11.0911,Germany,DE,Bayern
51.1236,8.0681,Germany,DE,Nordrhein-Westfalen
51.8831,8.5167,Germany,DE,Nordrhein-Westfalen
47.5458,9.6839,Germany,DE,Bayern
52.3081,8.6231,Germany,DE,Nordrhein-Westfalen
52.1906,9.0814,Germany,DE,Lower SN
51.3956,8.5678,Germany,DE,Nordrhein-Westfalen
51.8667,11.5667,Germany,DE,Sachsen-Anhalt
50.8961,14.8072,Germany,DE,Sachsen
51.2128,7.8715,Germany,DE,Nordrhein-Westfalen
49.9214,8.4818,Germany,DE,Hessen
54.5153,9.5697,Germany,DE,Schleswig-Holstein
47.8667,11.4667,Germany,DE,Bayern
48.1681,8.6247,Germany,DE,Baden-Wüttemberg
50.2569,8.6418,Germany,DE,Hessen
52.3833,8.9667,Germany,DE,Nordrhein-Westfalen
49.8056,8.6044,Germany,DE,Hessen
53.8117,10.3742,Germany,DE,Schleswig-Holstein
51.0289,7.8514,Germany,DE,Nordrhein-Westfalen
52.6,12.3333,Germany,DE,Brandenburg
51.5167,14.0167,Germany,DE,Brandenburg
50.55,10.4167,Germany,DE,Thüringen
47.6231,8.2144,Germany,DE,Baden-Wüttemberg
50.35,11.1667,Germany,DE,Thüringen
52.85,11.15,Germany,DE,Sachsen-Anhalt
48.7144,8.7375,Germany,DE,Baden-Wüttemberg
51.2719,8.8731,Germany,DE,Hessen
47.9972,11.3406,Germany,DE,Bayern
48.4633,8.4111,Germany,DE,Baden-Wüttemberg
49.35,9.1333,Germany,DE,Baden-Wüttemberg
54.4769,9.0511,Germany,DE,Schleswig-Holstein
53.25,7.9167,Germany,DE,Lower SN
52.2725,11.855,Germany,DE,Sachsen-Anhalt
47.8333,11.1333,Germany,DE,Bayern
50.2,10.0667,Germany,DE,Bayern
52.3247,9.2069,Germany,DE,Lower SN
51.0247,11.5139,Germany,DE,Thüringen
54.1961,9.0933,Germany,DE,Schleswig-Holstein
51.7286,10.2522,Germany,DE,Lower SN
49.7333,10.1667,Germany,DE,Bayern
47.5142,10.2817,Germany,DE,Bayern
51.3667,10.8667,Germany,DE,Thüringen
48.45,11.1333,Germany,DE,Bayern
49.2167,8.3667,Germany,DE,Rheinland-Pfalz
48.4525,10.2711,Germany,DE,Bayern
52.0831,13.1667,Germany,DE,Brandenburg
47.8683,12.6433,Germany,DE,Bayern
48.2456,12.5228,Germany,DE,Bayern
