Unnamed: 0,Unnamed: 1,Abschluss,Schuljahr,Schuljahr.1,Schuljahr.2,Schuljahr.3,Schuljahr.4,Schuljahr.5,Schuljahr.6,Schuljahr.7,Schuljahr.8,Schuljahr.9,Schuljahr.10,Schuljahr.11,Schuljahr.12,Schuljahr.13,Schuljahr.14,Schuljahr.15,Schuljahr.16,Schuljahr.17,Schuljahr.18,Schuljahr.19,Schuljahr.20,Schuljahr.21,Schuljahr.22,Schuljahr.23,Schuljahr.24,Schuljahr.25,Schuljahr.26,Schuljahr.27,Schuljahr.28,Schuljahr.29,Schuljahr.30,Schuljahr.31,Schuljahr.32,Schuljahr.33,Schuljahr.34,Schuljahr.35
Saarland,Integrierte Gesamtschulen,Ohne Hauptschulabschluss,28,21,49,22,22,44,46,31,77,30,41,71,27,25,52,38,31,69,230,124,354,226,119,345,248,137,385,245,126,371,155,136,291,158,120,278
Saarland,Freie Waldorfschulen,Ohne Hauptschulabschluss,3,4,7,5,1,6,10,10,20,8,1,9,3,6,9,6,4,10,2,6,8,1,3,4,6,3,9,5,4,9,3,5,8,8,1,9
Saarland,Förderschulen,Ohne Hauptschulabschluss,215,120,335,171,102,273,193,112,305,185,111,296,170,102,272,173,88,261,201,92,293,157,86,243,166,81,247,168,82,250,142,101,243,156,79,235
Saarland,Insgesamt,Ohne Hauptschulabschluss,343,223,566,299,188,487,327,200,527,295,214,509,297,192,489,281,157,438,434,228,662,399,211,610,426,230,656,423,214,637,303,243,546,336,213,549
Sachsen,Hauptschulen,Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sachsen,Schularten mit mehreren Bildungsgängen,Ohne Hauptschulabschluss,446,296,742,438,274,712,443,271,714,457,291,748,531,306,837,473,349,822,547,321,868,647,362,1009,704,365,1069,736,384,1120,563,313,876,571,351,922
Sachsen,Realschulen,Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sachsen,Gymnasien (G9),Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sachsen,Gymnasien (G8),Ohne Hauptschulabschluss,2,-,2,1,-,1,1,1,2,-,-,-,1,1,2,3,1,4,3,1,4,1,-,1,-,-,-,9,14,23,14,25,39,127,135,262
Sachsen,Integrierte Gesamtschulen,Ohne Hauptschulabschluss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
