Bundesland;Schulform;Schulabschluss;09_10_m;09_10_w;09_10_ins;10_11_m;10_11_w;10_11_ins;11_12_m;11_12_w;11_12_ins;12_13_m;12_13_w;12_13_ins;13_14_m;13_14_w;13_14_ins;14_15_m;14_15_w;14_15_ins;15_16_m;15_16_w;15_16_ins;16_17_m;16_17_w;16_17_ins;17_18_m;17_18_w;17_18_ins;18_19_m;18_19_w;18_19_ins;19_20_m;19_20_w;19_20_ins;20_21_m;20_21_w;20_21_ins
Schleswig-Holstein;Insgesamt;Ohne Hauptschulabschluss;1348;854;2202;1349;794;2143;1296;818;2114;1335;902;2237;1422;901;2323;1371;863;2234;1484;952;2436;1464;829;2293;1504;949;2453;1678;995;2673;1425;858;2283;1226;786;2012
Schleswig-Holstein;Insgesamt;Hauptschulabschluss;5025;3719;8744;4513;3374;7887;4054;3021;7075;3822;2689;6511;3460;2469;5929;3204;2371;5575;3300;2272;5572;3176;2175;5351;3149;2204;5353;3100;1978;5078;2999;2010;5009;2654;1926;4580
Schleswig-Holstein;Insgesamt;Mittlerer Schulabschluss;5598;5630;11228;5362;5612;10974;5220;5485;10705;6096;5991;12087;6329;6332;12661;6146;6189;12335;6174;6089;12263;5912;5764;11676;5708;5526;11234;5519;5293;10812;5150;5121;10271;4971;4829;9800
Schleswig-Holstein;Insgesamt;Fachhochschulreife;275;299;574;295;358;653;368;409;777;-;-;-;-;-;-;3;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Schleswig-Holstein;Insgesamt;Allgemeine Hochschulreife;4274;5124;9398;3805;4577;8382;3910;4721;8631;4239;4900;9139;4381;4986;9367;4686;5299;9985;7797;9128;16925;5261;5851;11112;4778;5446;10224;4738;5773;10511;4604;5418;10022;4345;5314;9659
Schleswig-Holstein;Insgesamt;Insgesamt;16520;15626;32146;15324;14715;30039;14848;14454;29302;15492;14482;29974;15592;14688;30280;15410;14722;30132;18755;18441;37196;15813;14619;30432;15139;14125;29264;15035;14039;29074;14178;13407;27585;13196;12855;26051
Thüringen;Insgesamt;Ohne Hauptschulabschluss;771;495;1266;702;455;1157;675;349;1024;729;448;1177;714;404;1118;743;454;1197;846;440;1286;1021;498;1519;1043;577;1620;1066;561;1627;821;481;1302;927;526;1453
Thüringen;Insgesamt;Hauptschulabschluss;1284;916;2200;1216;836;2052;1108;782;1890;1346;886;2232;1340;944;2284;1401;928;2329;1394;1076;2470;1483;1042;2525;1577;1033;2610;1491;1144;2635;1553;994;2547;1545;982;2527
Thüringen;Insgesamt;Mittlerer Schulabschluss;3112;2939;6051;3033;2842;5875;3133;3086;6219;3486;3438;6924;3832;3689;7521;3848;3610;7458;3844;3613;7457;3980;3670;7650;3999;3610;7609;4147;3885;8032;4046;3866;7912;4137;3942;8079
Thüringen;Insgesamt;Fachhochschulreife;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Thüringen;Insgesamt;Allgemeine Hochschulreife;2477;3008;5485;1942;2384;4326;2065;2437;4502;2072;2469;4541;2273;2726;4999;2591;2991;5582;2601;3331;5932;2580;3177;5757;2600;3116;5716;2675;3296;5971;2542;3192;5734;2374;3090;5464
Thüringen;Insgesamt;Insgesamt;7644;7358;15002;6893;6517;13410;6981;6654;13635;7633;7241;14874;8159;7763;15922;8583;7983;16566;8685;8460;17145;9064;8387;17451;9219;8336;17555;9379;8886;18265;8962;8533;17495;8983;8540;17523
